"protID"	"geneID"	"protName"	"capUsage"	"GOterm"
"W0TEH6"	"KLMA_60469"	"ACC1"	52.2	"Fatty acid metabolism"
"W0TEK0"	"KLMA_70219"	"FAS2"	1.03	"Fatty acid metabolism"
"W0TER0"	"KLMA_60529"	"LAT1"	97.2	"TCA cycle"
"W0TF11"	"KLMA_50050"	"SHM1"	100	"Amino acid metabolism"
"W0TF44"	"KLMA_60130"	"TRP1"	68.4	"Amino acid metabolism"
"W0TF60"	"KLMA_60417"	"cyp524A1"	99.6	"Sterol biosynthesis"
"W0TF75"	"KLMA_70162"	"PHA2"	6.24	"Amino acid metabolism"
"W0TFB3"	"KLMA_50135"	""	100	"ATP synthase"
"W0TFG9"	"KLMA_80061"	"MET3"	10.4	"Amino acid metabolism"
"W0TFW4"	"KLMA_70095"	"COR1"	99.7	"ETC"
"W0TFW6"	"KLMA_60420"	"LPD1"	82.7	"TCA cycle"
"W0TFW7"	"KLMA_80221"	"RKI1"	100	"PP shunt"
"W0TFY6"	"KLMA_60435"	"ATP2"	99.7	"ATP synthase"
"W0TFZ8"	"KLMA_60445"	"ERG13"	99.6	"Sterol biosynthesis"
"W0TG03"	"KLMA_70140"	"ATP1"	99.7	"ATP synthase"
"W0TG18"	"KLMA_80276"	"ERG24"	99.6	"Sterol biosynthesis"
"W0TG27"	"KLMA_70175"	"ARG5,6"	100	"Amino acid metabolism"
"W0TG79"	"KLMA_50475"	"QCR6"	99.7	"ETC"
"W0TGD1"	"KLMA_80099"	"ARO2"	100	"Amino acid metabolism"
"W0TGF8"	"KLMA_50550"	"SDH4"	67.4	"TCA cycle"
"W0TGG7"	"KLMA_80139"	"IDH1"	24.1	"TCA cycle"
"W0TGH3"	"KLMA_90003"	"COB"	99.7	"ETC"
"W0TGM4"	"KLMA_50610"	""	100	"Nucleotide biosynthesis"
"W0TGP2"	"KLMA_70123"	"GLN1"	5.7	"Amino acid metabolism"
"W0TGV0"	"KLMA_80299"	"LYS2"	45.5	"Amino acid metabolism"
"W0TGZ0"	"KLMA_60078"	"SER2"	12.3	"Amino acid metabolism"
"W0TGZ5"	"KLMA_80344"	"TRP2"	99.6	"Amino acid metabolism"
"W0TH05"	"KLMA_80022"	""	99.7	"ATP synthase"
"W0TH97"	"KLMA_90011"	"COX3"	99.7	"ETC"
"W0THE4"	"KLMA_60243"	"MLS1"	12.3	"TCA cycle"
"W0THR2"	"KLMA_60378"	"MET12"	50.1	"Amino acid metabolism"
"W0THR5"	"KLMA_80302"	"TKL1"	26.1	"PP shunt"
"W0THR7"	"KLMA_60383"	"ERG10"	3.56	"Sterol biosynthesis"
"W0THT4"	"KLMA_80322"	"COX7"	99.7	"ETC"
"W0THU4"	"KLMA_80332"	"ARO7"	13.3	"Amino acid metabolism"
"W0TI04"	"KLMA_80130"	"LYS12"	42.7	"Amino acid metabolism"
"W0TI35"	"KLMA_80165"	"HIS5"	0.503	"Amino acid metabolism"
"W0TI50"	"KLMA_90009"	""	99.7	"ATP synthase"
"W0TIH4"	"KLMA_70086"	"URA7"	20.3	"Nucleotide biosynthesis"
"W0TIU0"	"KLMA_90002"	"COX2"	99.7	"ETC"
"W0TIY9"	"KLMA_70271"	"MET16"	95.4	"Amino acid metabolism"
"W0TJM6"	"KLMA_80028"	"FUM1"	28.5	"TCA cycle"
"W0TKF9"	"KLMA_80348"	"MET6"	60.6	"Amino acid metabolism"
"W0TKL8"	"KLMA_80408"	"SDH2"	67.4	"TCA cycle"
"W0TKQ2"	"KLMA_90010"	"ATP6"	99.7	"ATP synthase"
"W0T7K9"	"KLMA_10462"	"ENO"	19.1	"Glycolysis"
"W0T4I6"	"KLMA_10331"	"SOL3"	100	"PP shunt"
