Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (ORF )
W0TH64	ATG10_KLUMD	reviewed	Ubiquitin-like-conjugating enzyme ATG10 (EC 2.3.2.-) (Autophagy-related protein 10)	ATG10 KLMA_80409	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG10		KLMA_80409
W0TAA4	ATG29_KLUMD	reviewed	Autophagy-related protein 29	ATG29 KLMA_30451	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG29		KLMA_30451
W0TA43	ATG13_KLUMD	reviewed	Autophagy-related protein 13	ATG13 KLMA_40473	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG13		KLMA_40473
W0THY6	ATG8_KLUMD	reviewed	Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8)	ATG8 KLMA_80372	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG8		KLMA_80372
W0T661	ATG16_KLUMD	reviewed	Autophagy-related protein 16	ATG16 KLMA_20649	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG16		KLMA_20649
W0T4A7	EAT1_KLUMD	reviewed	Ethanol acetyltransferase 1 (EC 2.3.1.268) (Acetyl-CoA hydrolase) (EC 3.1.2.1) (Acetyl-CoA thioesterase) (Alcohol acetyltransferase) (AAT) (Ethyl acetate esterase) (EC 3.1.1.-)	EAT1 KLMA_10805	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	EAT1		KLMA_10805
W0T5P4	ATG18_KLUMD	reviewed	Autophagy-related protein 18	ATG18 KLMA_20474	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG18		KLMA_20474
W0T9X4	ATG1_KLUMD	reviewed	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1)	ATG1 KLMA_30321	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG1		KLMA_30321
W0T4C1	ATG12_KLUMD	reviewed	Ubiquitin-like protein ATG12 (Autophagy-related protein 12)	ATG12 KLMA_10251	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG12		KLMA_10251
W0TET3	W0TET3_KLUMD	unreviewed	UNC93-like protein	KLMA_60005	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_60005
W0TD57	W0TD57_KLUMD	unreviewed	TY1 enhancer activator	TEA1 KLMA_50102	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	TEA1		KLMA_50102
W0TAV5	W0TAV5_KLUMD	unreviewed	Myosin-2	MYO2 KLMA_50113	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	MYO2		KLMA_50113
W0T5N8	W0T5N8_KLUMD	unreviewed	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	BAT1 KLMA_10514	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	BAT1		KLMA_10514
W0TBG8	W0TBG8_KLUMD	unreviewed	Uncharacterized transporter C417.10	KLMA_50121	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_50121
W0TE67	W0TE67_KLUMD	unreviewed	Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	URA6 KLMA_40365	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	URA6		KLMA_40365
W0TK04	W0TK04_KLUMD	unreviewed	Carbamoyl-phosphate synthase arginine-specific large chain	CPA2 KLMA_80178	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	CPA2		KLMA_80178
W0T4Z6	W0T4Z6_KLUMD	unreviewed	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	uch2 KLMA_20017	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	uch2		KLMA_20017
W0TEA4	W0TEA4_KLUMD	unreviewed	Actin-related protein 7	ARP7 KLMA_70124	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ARP7		KLMA_70124
W0THD9	W0THD9_KLUMD	unreviewed	Uncharacterized protein YOR114W	KLMA_60238	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_60238
W0T543	W0T543_KLUMD	unreviewed	Uncharacterized transporter YIL166C	KLMA_20284	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_20284
W0TCD5	W0TCD5_KLUMD	unreviewed	Nucleolar protein NET1	NET1 KLMA_30474	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	NET1		KLMA_30474
W0TG83	W0TG83_KLUMD	unreviewed	Mitochondrial import inner membrane translocase subunit TIM44	TIM44 KLMA_50480	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	TIM44		KLMA_50480
W0T3J3	W0T3J3_KLUMD	unreviewed	Dynein heavy chain	DYN1 KLMA_10343	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	DYN1		KLMA_10343
W0TDJ3	W0TDJ3_KLUMD	unreviewed	Putative lipase YJR107W	KLMA_60426	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_60426
W0TKP5	W0TKP5_KLUMD	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	aI5 KLMA_90005	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	aI5		KLMA_90005
W0TK50	W0TK50_KLUMD	unreviewed	Uncharacterized protein	RAS2 KLMA_80228	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	RAS2		KLMA_80228
W0T3A2	W0T3A2_KLUMD	unreviewed	Siroheme biosynthesis protein MET8	MET8 KLMA_10243	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	MET8		KLMA_10243
W0T6T3	W0T6T3_KLUMD	unreviewed	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein QRI7) (tRNA threonylcarbamoyladenosine biosynthesis protein QRI7)	QRI7 gcp KLMA_20677	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	QRI7		KLMA_20677
W0TBR0	W0TBR0_KLUMD	unreviewed	Histone acetyltransferase GCN5	GCN5 KLMA_40434	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	GCN5		KLMA_40434
W0TEP8	W0TEP8_KLUMD	unreviewed	UPF0061 protein FMP40	FMP40 KLMA_40565	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	FMP40		KLMA_40565
W0THF0	W0THF0_KLUMD	unreviewed	Succinate/fumarate mitochondrial transporter	SFC1 KLMA_80177	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	SFC1		KLMA_80177
W0T5P2	W0T5P2_KLUMD	unreviewed	Actin-like protein	ro-4 KLMA_10736	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ro-4		KLMA_10736
W0T9H1	W0T9H1_KLUMD	unreviewed	SAGA-associated factor 29	SGF29 KLMA_30146	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	SGF29		KLMA_30146
W0T896	W0T896_KLUMD	unreviewed	K(+)/H(+) antiporter 1	KHA1 KLMA_20825	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	KHA1		KLMA_20825
W0TG06	W0TG06_KLUMD	unreviewed	Conserved hypothetical membrane protein	ywtG KLMA_70145	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ywtG		KLMA_70145
W0T4A0	W0T4A0_KLUMD	unreviewed	Uncharacterized protein KLLA0D02464g	KLMA_10613	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_10613
W0T9R2	W0T9R2_KLUMD	unreviewed	Uncharacterized protein	KLMA_40141	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_40141
W0TGL7	W0TGL7_KLUMD	unreviewed	Ubiquitin-conjugating enzyme E2 4	UBC4 KLMA_70365	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	UBC4		KLMA_70365
W0TD94	W0TD94_KLUMD	unreviewed	Exocyst complex component SEC3	SEC3 KLMA_50374	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	SEC3		KLMA_50374
W0TBF6	W0TBF6_KLUMD	unreviewed	Succinate dehydrogenase [ubiquinone] cytochrome b subunit	KLMA_30124	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_30124
W0TDC8	W0TDC8_KLUMD	unreviewed	Putative mitochondrial translation system component PET127	PET127 KLMA_50414	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	PET127		KLMA_50414
W0TG56	W0TG56_KLUMD	unreviewed	Pescadillo homolog (Nucleolar protein 7 homolog)	NOP7 KLMA_50445	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	NOP7		KLMA_50445
W0TIE6	W0TIE6_KLUMD	unreviewed	Tubulin beta chain	TUB2 KLMA_70056	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	TUB2		KLMA_70056
W0TC79	W0TC79_KLUMD	unreviewed	Uncharacterized protein	CDC16 KLMA_40367	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	CDC16		KLMA_40367
W0T9B0	W0T9B0_KLUMD	unreviewed	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27)	PEP5 KLMA_30081	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	PEP5		KLMA_30081
W0T8Z8	W0T8Z8_KLUMD	unreviewed	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	PMT2 KLMA_30233	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	PMT2		KLMA_30233
W0TGE0	W0TGE0_KLUMD	unreviewed	Frataxin homolog	YFH1 KLMA_80109	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	YFH1		KLMA_80109
W0TAX3	W0TAX3_KLUMD	unreviewed	Translation initiation factor eIF-2B subunit epsilon	GCD6 KLMA_50128	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	GCD6		KLMA_50128
W0T4P2	W0T4P2_KLUMD	unreviewed	SVF1-like protein YDR222W	KLMA_20124	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_20124
W0T3L7	W0T3L7_KLUMD	unreviewed	Mediator of replication checkpoint protein 1	MRC1 KLMA_10021	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	MRC1		KLMA_10021
W0T5P0	W0T5P0_KLUMD	unreviewed	ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)	KLMA_20469	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_20469
W0T771	W0T771_KLUMD	unreviewed	GMP synthase	GUA1 KLMA_10317	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	GUA1		KLMA_10317
W0TDT4	W0TDT4_KLUMD	unreviewed	Predicted solute binding protein	KLMA_50307	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_50307
W0T8T1	W0T8T1_KLUMD	unreviewed	Uncharacterized protein YKL215C	OXP1 KLMA_40018	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	OXP1		KLMA_40018
W0TF37	W0TF37_KLUMD	unreviewed	54S ribosomal protein L8	MRPL8 KLMA_50075	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	MRPL8		KLMA_50075
W0TCJ2	W0TCJ2_KLUMD	unreviewed	Uncharacterized protein YGR237C	KLMA_60046	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_60046
W0TEY1	W0TEY1_KLUMD	unreviewed	Ferric reductase transmembrane component 3	FRE3 KLMA_50020	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	FRE3		KLMA_50020
W0T910	W0T910_KLUMD	unreviewed	Trafficking protein particle complex subunit BET3	BET3 KLMA_30248	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	BET3		KLMA_30248
W0T938	W0T938_KLUMD	unreviewed	Vacuolar aminopeptidase 1	LAP4 KLMA_20156	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	LAP4		KLMA_20156
W0TGP1	W0TGP1_KLUMD	unreviewed	Cytosolic Fe-S cluster assembly factor NAR1	NAR1 KLMA_50630	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	NAR1		KLMA_50630
W0TG44	W0TG44_KLUMD	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	PPG1 KLMA_70195	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	PPG1		KLMA_70195
W0T568	W0T568_KLUMD	unreviewed	Uncharacterized protein	KLMA_20097	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_20097
W0TEV2	W0TEV2_KLUMD	unreviewed	Protein EMP47	EMP47 KLMA_70027	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	EMP47		KLMA_70027
W0T5T9	W0T5T9_KLUMD	unreviewed	40S ribosomal protein S6	RPS6 KLMA_10786	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	RPS6		KLMA_10786
W0TI53	W0TI53_KLUMD	unreviewed	Uncharacterized transcriptional regulatory protein YCR106W	RDS1 KLMA_80190	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	RDS1		KLMA_80190
W0TH66	W0TH66_KLUMD	unreviewed	10 kDa heat shock protein	HSP10 KLMA_80087	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	HSP10		KLMA_80087
W0TDI1	W0TDI1_KLUMD	unreviewed	ISWI one complex protein 2	IOC2 KLMA_40155	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	IOC2		KLMA_40155
W0TIX3	W0TIX3_KLUMD	unreviewed	ERAD-associated E3 ubiquitin-protein ligase component HRD3	HRD3 KLMA_70251	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	HRD3		KLMA_70251
W0TFW0	W0TFW0_KLUMD	unreviewed	Thioredoxin domain-containing protein	KLMA_70090	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_70090
W0TDX7	W0TDX7_KLUMD	unreviewed	Mitochondrial FAD carrier protein FLX1	FLX1 KLMA_60531	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	FLX1		KLMA_60531
W0T3T6	W0T3T6_KLUMD	unreviewed	Plasma membrane fusion protein PRM1	PRM1 KLMA_10086	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	PRM1		KLMA_10086
W0TAB3	W0TAB3_KLUMD	unreviewed	UPF0067 GAF domain-containing protein YKL069W	KLMA_40301	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_40301
W0TA26	W0TA26_KLUMD	unreviewed	Calcium/calmodulin-dependent protein kinase II	CMK2 KLMA_30371	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	CMK2		KLMA_30371
W0TB66	W0TB66_KLUMD	unreviewed	Verprolin	VRP1 KLMA_50203	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	VRP1		KLMA_50203
W0TB93	W0TB93_KLUMD	unreviewed	Uncharacterized protein YMR130W	KLMA_40067	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_40067
W0T502	W0T502_KLUMD	unreviewed	Cylicin-2	HPC2 KLMA_10249	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	HPC2		KLMA_10249
W0TAW2	W0TAW2_KLUMD	unreviewed	Phospholipid-transporting ATPase (EC 7.6.2.1)	DRS2 KLMA_50118	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	DRS2		KLMA_50118
W0TDS1	W0TDS1_KLUMD	unreviewed	Ribosomal RNA-processing protein 8 (EC 2.1.1.-)	RRP8 KLMA_60204	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	RRP8		KLMA_60204
W0T6X4	W0T6X4_KLUMD	unreviewed	Protein SFI1	SFI1 KLMA_20113	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	SFI1		KLMA_20113
W0TAV1	W0TAV1_KLUMD	unreviewed	Oxysterol-binding protein homolog 7	OSH7 KLMA_30626	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	OSH7		KLMA_30626
W0T6B3	W0T6B3_KLUMD	unreviewed	KRR1 small subunit processome component (KRR-R motif-containing protein 1)	KRR1 KLMA_10022	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	KRR1		KLMA_10022
W0TCR1	W0TCR1_KLUMD	unreviewed	Protein ATC1/LIC4	ATC1 KLMA_50561	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATC1		KLMA_50561
W0T2V6	W0T2V6_KLUMD	unreviewed	IBN_N super family	SXM1 KLMA_10290	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	SXM1		KLMA_10290
W0TBP3	W0TBP3_KLUMD	unreviewed	Uncharacterized membrane protein YMR010W	KLMA_50413	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_50413
W0T386	W0T386_KLUMD	unreviewed	Uncharacterized protein	KLMA_10440	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_10440
W0T5M4	W0T5M4_KLUMD	unreviewed	Carboxypeptidase (EC 3.4.16.-)	PRC1 KLMA_10499	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	PRC1		KLMA_10499
W0TCB9	W0TCB9_KLUMD	unreviewed	Glutamate dehydrogenase	GDH3 KLMA_50019	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	GDH3		KLMA_50019
W0TB60	W0TB60_KLUMD	unreviewed	(2R,3R)-2,3-butanediol dehydrogenase	BDH1 KLMA_50016	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	BDH1		KLMA_50016
W0TFU3	W0TFU3_KLUMD	unreviewed	DUF1713 domain-containing protein	KLMA_50320	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)			KLMA_50320
W0T8Z2	W0T8Z2_KLUMD	unreviewed	RING finger protein YMR247C	RKR1 KLMA_30560	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	RKR1		KLMA_30560
W0TBS1	W0TBS1_KLUMD	unreviewed	Protein VHS3	VHS3 KLMA_30254	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	VHS3		KLMA_30254
W0TJK0	W0TJK0_KLUMD	unreviewed	Ferric reductase transmembrane component 4	FRE3 KLMA_70456	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	FRE3		KLMA_70456
W0TA27	W0TA27_KLUMD	unreviewed	Manganese transporter SMF1	SMF1 KLMA_30583	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	SMF1		KLMA_30583
W0T513	W0T513_KLUMD	unreviewed	DNA helicase (EC 3.6.4.12)	MCM6 KLMA_20254	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	MCM6		KLMA_20254
W0TGE9	W0TGE9_KLUMD	unreviewed	Vacuolar basic amino acid transporter 2	VBA2 KLMA_70013	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	VBA2		KLMA_70013
W0T2Q5	W0T2Q5_KLUMD	unreviewed	Serine/threonine-protein kinase GIN4	GIN4 KLMA_10073	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	GIN4		KLMA_10073
W0TKD7	W0TKD7_KLUMD	unreviewed	RING finger protein PSH1	PSH1 KLMA_80323	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	PSH1		KLMA_80323
W0T6K2	W0T6K2_KLUMD	unreviewed	Vacuolar amino acid transporter 2	AVT2 KLMA_10102	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	AVT2		KLMA_10102
