Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (ORF )
A3LNC4	U507_PICST	reviewed	UPF0507 protein PICST_55861	PICST_55861	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_55861
A3LPX1	SSN8_PICST	reviewed	RNA polymerase II holoenzyme cyclin-like subunit	SSN8 PICST_54418	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SSN8		PICST_54418
A3LXS6	TRM13_PICST	reviewed	tRNA:m(4)X modification enzyme TRM13 (EC 2.1.1.225) (tRNA methylase 13)	TRM13 PICST_32922	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	TRM13		PICST_32922
P22144	XYL2_PICST	reviewed	D-xylulose reductase (EC 1.1.1.9) (Xylitol dehydrogenase) (XDH)	XYL2 PICST_86924	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	XYL2		PICST_86924
A3LMX9	GET1_PICST	reviewed	Golgi to ER traffic protein 1 (Guided entry of tail-anchored proteins 1)	GET1 PICST_29392	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	GET1		PICST_29392
Q9C1D4	HIS7_PICST	reviewed	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	HIS3	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	HIS3		
A3GFI4	IF4A_PICST	reviewed	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Translation initiation factor 1)	TIF1 TIF41 PICST_74636	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	TIF1		PICST_74636
A3LNI7	LIS1_PICST	reviewed	Nuclear distribution protein PAC1 (Lissencephaly-1 homolog) (LIS-1) (nudF homolog)	PAC1 LIS1 PICST_76411	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PAC1		PICST_76411
A3LNK7	PRM1_PICST	reviewed	Plasma membrane fusion protein PRM1	PRM1 PICST_54949	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PRM1		PICST_54949
A3LZU7	RM1DH_PICST	reviewed	L-rhamnose-1-dehydrogenase (EC 1.1.1.173)	DHG2 RHA1 PICST_50944	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	DHG2		PICST_50944
A3LYI0	NST1_PICST	reviewed	Stress response protein NST1	NST1 PICST_68216	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NST1		PICST_68216
A3LYS9	PURA_PICST	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	PICST_85387	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_85387
A3LQG3	RTC5_PICST	reviewed	Restriction of telomere capping protein 5	RTC5 YBV2 PICST_54383	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RTC5		PICST_54383
A3LXM3	SHE3_PICST	reviewed	SWI5-dependent HO expression protein 3	SHE3 PICST_62098	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SHE3		PICST_62098
A3GFA2	SEC23_PICST	reviewed	Protein transport protein SEC23	SEC23 PICST_80516	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SEC23		PICST_80516
A3GFK8	SEC31_PICST	reviewed	Protein transport protein SEC31	SEC31 PICST_80311	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SEC31		PICST_80311
A3GHR8	SDHF2_PICST	reviewed	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	PICST_53561	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_53561
A3LW86	PFF1_PICST	reviewed	Vacuolar membrane protease (EC 3.4.-.-) (FXNA-related family protease 1) (Fragment)	PICST_46351	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_46351
A3LYR9	RT25_PICST	reviewed	37S ribosomal protein S25, mitochondrial	RSM25 PICST_36916	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RSM25		PICST_36916
A3LZ57	SEC16_PICST	reviewed	COPII coat assembly protein SEC16 (Protein transport protein SEC16)	SEC16 PICST_68327	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SEC16		PICST_68327
A3GF47	SRB8_PICST	reviewed	Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12)	SRB8 MED12 PICST_86078	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SRB8		PICST_86078
A3LRM6	SNU71_PICST	reviewed	U1 small nuclear ribonucleoprotein component SNU71	SNU71 PICST_56888	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SNU71		PICST_56888
A3LRZ0	RSSA_PICST	reviewed	40S ribosomal protein S0	RPS0 PICST_76999	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RPS0		PICST_76999
A3M019	S2538_PICST	reviewed	Mitochondrial glycine transporter (Solute carrier family 25 member 38 homolog)	PICST_91291	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)			PICST_91291
A3GF61	RIX1_PICST	reviewed	Pre-rRNA-processing protein RIX1	RIX1 PICST_52773	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RIX1		PICST_52773
A3LYY9	RM04_PICST	reviewed	54S ribosomal protein L4, mitochondrial	MRPL4 PICST_90761	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MRPL4		PICST_90761
A3LTV8	RRG9_PICST	reviewed	Required for respiratory growth protein 9, mitochondrial	RRG9 PICST_31550	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RRG9		PICST_31550
A3GG03	NAGS_PICST	reviewed	Amino-acid acetyltransferase, mitochondrial (EC 2.3.1.1) (Arginine-requiring protein 2) (Glutamate N-acetyltransferase) (N-acetylglutamate synthase) (AGS) (NAGS)	ARG2 PICST_51037	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ARG2		PICST_51037
A3M0C9	RIFK_PICST	reviewed	Riboflavin kinase (EC 2.7.1.26) (Flavin mononucleotide kinase 1)	FMN1 PICST_50354	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	FMN1		PICST_50354
A3LX29	ATG17_PICST	reviewed	Autophagy-related protein 17	ATG17 PICST_61658	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ATG17		PICST_61658
A3LQD7	KYNU_PICST	reviewed	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	BNA5 PICST_55542	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	BNA5		PICST_55542
A3LU54	MED18_PICST	reviewed	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18)	SRB5 MED18 PICST_83532	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SRB5		PICST_83532
A3LYF7	MED4_PICST	reviewed	Mediator of RNA polymerase II transcription subunit 4 (Mediator complex subunit 4)	MED4 PICST_62182	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MED4		PICST_62182
A3LT66	MCR1_PICST	reviewed	NADH-cytochrome b5 reductase 2 (EC 1.6.2.2) (Mitochondrial cytochrome b reductase)	MCR1 PICST_44816	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MCR1		PICST_44816
A3LVL1	RCF1_PICST	reviewed	Respiratory supercomplex factor 1, mitochondrial	RCF1 AIM31 PICST_36309	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RCF1		PICST_36309
A3GF86	NCB5R_PICST	reviewed	NADH-cytochrome b5 reductase 1 (EC 1.6.2.2) (Microsomal cytochrome b reductase)	CBR1 PICST_68997	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CBR1		PICST_68997
A3LN21	MTNA_PICST	reviewed	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	MRI1 PICST_40776	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MRI1		PICST_40776
A3LT37	COG6_PICST	reviewed	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6)	COG6 PICST_45600	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	COG6		PICST_45600
A3LRF0	MED17_PICST	reviewed	Mediator of RNA polymerase II transcription subunit 17 (Mediator complex subunit 17)	SRB4 MED17 PICST_30665	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SRB4		PICST_30665
A3M022	MED5_PICST	reviewed	Mediator of RNA polymerase II transcription subunit 5 (Mediator complex subunit 5)	NUT1 MED5 PICST_64197	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NUT1		PICST_64197
A3LSN3	DRS1_PICST	reviewed	ATP-dependent RNA helicase DRS1 (EC 3.6.4.13)	DRS1 PICST_1703	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	DRS1		PICST_1703
A3LY29	EIF3B_PICST	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 90 kDa subunit homolog) (eIF3 p90) (Translation initiation factor eIF3 p90 subunit homolog)	PRT1 PICST_73391	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PRT1		PICST_73391
A3LY92	HSM3_PICST	reviewed	DNA mismatch repair protein HSM3	HSM3 PICST_62139	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	HSM3		PICST_62139
A3LUT0	NOP58_PICST	reviewed	Nucleolar protein 58	NOP58 PICST_72477	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NOP58		PICST_72477
A3LYZ4	NTE1_PICST	reviewed	Lysophospholipase NTE1 (EC 3.1.1.5) (Intracellular phospholipase B) (Neuropathy target esterase homolog)	NTE1 PICST_33358	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NTE1		PICST_33358
P34736	TKT_PICST	reviewed	Transketolase (TK) (EC 2.2.1.1)	TKT TKT1 PICST_67105	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	TKT		PICST_67105
A3LPS1	TVP18_PICST	reviewed	Golgi apparatus membrane protein TVP18	TVP18 PICST_35158	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	TVP18		PICST_35158
A3LX75	VPS27_PICST	reviewed	Vacuolar protein sorting-associated protein 27	VPS27 PICST_36619	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	VPS27		PICST_36619
A3LQF9	UBA4_PICST	reviewed	Adenylyltransferase and sulfurtransferase UBA4 (Ubiquitin-like protein activator 4) [Includes: Adenylyltransferase UBA4 (EC 2.7.7.-); Sulfurtransferase UBA4 (EC 2.8.1.-)]	UBA4 PICST_81395	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	UBA4		PICST_81395
A3LU53	VMA21_PICST	reviewed	Vacuolar ATPase assembly integral membrane protein VMA21	VMA21 PICST_58812	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	VMA21		PICST_58812
A3LQ55	PRP5_PICST	reviewed	Pre-mRNA-processing ATP-dependent RNA helicase PRP5 (EC 3.6.4.13)	PRP5 PICST_87539	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PRP5		PICST_87539
A3LUT4	PMIP_PICST	reviewed	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59) (Octapeptidyl aminopeptidase)	OCT1 PICST_89481	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	OCT1		PICST_89481
A3LUB9	SSN3_PICST	reviewed	Serine/threonine-protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8)	SSN3 CDK8 PICST_89025	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SSN3		PICST_89025
A3GGS6	UTP10_PICST	reviewed	U3 small nucleolar RNA-associated protein 10	UTP10 PICST_85815	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	UTP10		PICST_85815
A3LXL0	PABP_PICST	reviewed	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (Polyadenylate tail-binding protein)	PAB1 PICST_90501	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PAB1		PICST_90501
P49434	PYRF_PICST	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	URA3 PICST_50417	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	URA3		PICST_50417
A3LU56	PESC_PICST	reviewed	Pescadillo homolog (Nucleolar protein 7 homolog)	NOP7 PICST_71704	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NOP7		PICST_71704
A3LR41	TOF1_PICST	reviewed	Topoisomerase 1-associated factor 1	TOF1 PICST_88189	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	TOF1		PICST_88189
A3LNL1	PRP28_PICST	reviewed	Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 (EC 3.6.4.13)	PRP28 PICST_75833	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	PRP28		PICST_75833
A3LQX9	RPC3_PICST	reviewed	DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3)	RPC82 RPC3 PICST_82840	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RPC82		PICST_82840
A3LTA2	SAR1_PICST	reviewed	Small COPII coat GTPase SAR1 (EC 3.6.5.-)	SAR1 PICST_67516	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SAR1		PICST_67516
A3LX02	SPB4_PICST	reviewed	ATP-dependent rRNA helicase SPB4 (EC 3.6.4.13)	SPB4 PICST_62830	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SPB4		PICST_62830
A3GGG8	SLX4_PICST	reviewed	Structure-specific endonuclease subunit SLX4	SLX4 PICST_28599	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SLX4		PICST_28599
A3LZD1	POA1_PICST	reviewed	ADP-ribose 1''-phosphate phosphatase (EC 3.1.3.84)	POA1 PICST_49619	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	POA1		PICST_49619
A3LQ52	RMD9_PICST	reviewed	Protein RMD9, mitochondrial	RMD9 PICST_88098	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RMD9		PICST_88098
A3GHW9	ROK1_PICST	reviewed	ATP-dependent RNA helicase ROK1 (EC 3.6.4.13)	ROK1 PICST_81007	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ROK1		PICST_81007
A3LUW5	RS3A1_PICST	reviewed	40S ribosomal protein S1-A	RPS1A PICST_46030	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RPS1A		PICST_46030
A3LPV8	SGF11_PICST	reviewed	SAGA-associated factor 11	SGF11 PICST_56322	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SGF11		PICST_56322
A3LZG5	SLX1_PICST	reviewed	Structure-specific endonuclease subunit SLX1 (EC 3.1.-.-)	SLX1 PICST_90954	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SLX1		PICST_90954
A3LTT0	RGI1_PICST	reviewed	Respiratory growth induced protein 1	RGI1 PICST_83546	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RGI1		PICST_83546
A3GHR2	NACB_PICST	reviewed	Nascent polypeptide-associated complex subunit beta (NAC-beta) (Beta-NAC)	EGD1 PICST_75534	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	EGD1		PICST_75534
A3GIA4	RTC1_PICST	reviewed	Restriction of telomere capping protein 1	RTC1 PICST_53206	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RTC1		PICST_53206
A3LZU8	RMGL_PICST	reviewed	L-rhamnono-gamma-lactonase (EC 3.1.1.65)	LRA2 PICST_63908	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	LRA2		PICST_63908
A3LP19	RRT14_PICST	reviewed	Regulator of rDNA transcription 14	RRT14 PICST_29791	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	RRT14		PICST_29791
A3LWR2	RRF2M_PICST	reviewed	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)	MEF2 PICST_67982	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MEF2		PICST_67982
A3LVY7	SLX9_PICST	reviewed	Ribosome biogenesis protein SLX9	SLX9 PICST_32290	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SLX9		PICST_32290
A3LNG8	MZM1_PICST	reviewed	Mitochondrial zinc maintenance protein 1, mitochondrial	MZM1 PICST_76234	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MZM1		PICST_76234
A3GHD3	NACA_PICST	reviewed	Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC)	EGD2 PICST_69583	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	EGD2		PICST_69583
A3LYL7	MYO1_PICST	reviewed	Myosin-1 (Class I unconventional myosin) (Type I myosin)	MYO1 PICST_79258	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	MYO1		PICST_79258
A3LNW4	CAF17_PICST	reviewed	Putative transferase CAF17, mitochondrial (EC 2.1.-.-)	CAF17 PICST_40677	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CAF17		PICST_40677
A3LXX5	CHZ1_PICST	reviewed	Histone H2A.Z-specific chaperone CHZ1	CHZ1 PICST_32972	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CHZ1		PICST_32972
A3GGB3	CTU1_PICST	reviewed	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)	NCS6 CTU1 PICST_39100	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NCS6		PICST_39100
A3LX99	NM111_PICST	reviewed	Pro-apoptotic serine protease NMA111 (EC 3.4.21.-)	NMA111 PDZ1 PICST_47702	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	NMA111		PICST_47702
A3GGU3	KFA_PICST	reviewed	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)	BNA7 PICST_66527	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	BNA7		PICST_66527
