"UniprotID"	"GOterm"	"GOname"	"GeneName"	"GeneShort"
"P40571"	"GO:0046872"	"metal ion binding"	"YIR015W"	"RPR2"
"P32897"	"GO:0030943"	"mitochondrion targeting sequence binding"	"YNR017W"	"TIM23"
"P32897"	"GO:0005744"	"TIM23 mitochondrial import inner membrane translocase complex"	"YNR017W"	"TIM23"
"P32897"	"GO:0015450"	"P-P-bond-hydrolysis-driven protein transmembrane transporter activity"	"YNR017W"	"TIM23"
"P32897"	"GO:0008320"	"protein transmembrane transporter activity"	"YNR017W"	"TIM23"
"P32897"	"GO:0030150"	"protein import into mitochondrial matrix"	"YNR017W"	"TIM23"
"P32897"	"GO:0031305"	"integral component of mitochondrial inner membrane"	"YNR017W"	"TIM23"
"P32897"	"GO:0005758"	"mitochondrial intermembrane space"	"YNR017W"	"TIM23"
"P32897"	"GO:0006886"	"intracellular protein transport"	"YNR017W"	"TIM23"
"P32897"	"GO:0005743"	"mitochondrial inner membrane"	"YNR017W"	"TIM23"
"P34220"	"GO:0006309"	"apoptotic DNA fragmentation"	"YBL055C"	""
"P34220"	"GO:0016788"	"hydrolase activity, acting on ester bonds"	"YBL055C"	""
"P34220"	"GO:0016888"	"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	"YBL055C"	""
"P34220"	"GO:0034599"	"cellular response to oxidative stress"	"YBL055C"	""
"P34220"	"GO:0008296"	"3'-5'-exodeoxyribonuclease activity"	"YBL055C"	""
"P34220"	"GO:0004519"	"endonuclease activity"	"YBL055C"	""
"P34220"	"GO:0005737"	"cytoplasm"	"YBL055C"	""
"P34220"	"GO:0046872"	"metal ion binding"	"YBL055C"	""
"Q08287"	"GO:0003676"	"nucleic acid binding"	"YOL144W"	"NOP8"
"Q08287"	"GO:0000463"	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"YOL144W"	"NOP8"
"Q08287"	"GO:0042273"	"ribosomal large subunit biogenesis"	"YOL144W"	"NOP8"
"Q08287"	"GO:0003723"	"RNA binding"	"YOL144W"	"NOP8"
"Q08287"	"GO:0005730"	"nucleolus"	"YOL144W"	"NOP8"
"Q07786"	"GO:0019318"	"hexose metabolic process"	"YDL246C"	"SOR2"
"Q07786"	"GO:0003939"	"L-iditol 2-dehydrogenase activity"	"YDL246C"	"SOR2"
"Q07786"	"GO:0055114"	"oxidation-reduction process"	"YDL246C"	"SOR2"
"Q07786"	"GO:0016491"	"oxidoreductase activity"	"YDL246C"	"SOR2"
"Q07786"	"GO:0008270"	"zinc ion binding"	"YDL246C"	"SOR2"
"Q07747"	"GO:0018456"	"aryl-alcohol dehydrogenase (NAD+) activity"	"YDL243C"	"AAD4"
"Q07747"	"GO:0006081"	"cellular aldehyde metabolic process"	"YDL243C"	"AAD4"
"Q04162"	"GO:0022857"	"transmembrane transporter activity"	"YDR387C"	""
"Q04162"	"GO:0016020"	"membrane"	"YDR387C"	""
"Q04162"	"GO:0005351"	"carbohydrate:proton symporter activity"	"YDR387C"	""
"Q04162"	"GO:0016021"	"integral component of membrane"	"YDR387C"	""
"Q04162"	"GO:0055085"	"transmembrane transport"	"YDR387C"	""
"Q04162"	"GO:0046323"	"glucose import"	"YDR387C"	""
"Q04162"	"GO:0005355"	"glucose transmembrane transporter activity"	"YDR387C"	""
"Q03532"	"GO:1990417"	"snoRNA release from pre-rRNA"	"YMR290C"	"HAS1"
"Q03532"	"GO:0008186"	"RNA-dependent ATPase activity"	"YMR290C"	"HAS1"
"Q03532"	"GO:0042274"	"ribosomal small subunit biogenesis"	"YMR290C"	"HAS1"
"Q03532"	"GO:0005635"	"nuclear envelope"	"YMR290C"	"HAS1"
"Q03532"	"GO:0003676"	"nucleic acid binding"	"YMR290C"	"HAS1"
"Q03532"	"GO:0010501"	"RNA secondary structure unwinding"	"YMR290C"	"HAS1"
"Q03532"	"GO:0006364"	"rRNA processing"	"YMR290C"	"HAS1"
"Q03532"	"GO:0000462"	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"YMR290C"	"HAS1"
"Q03532"	"GO:0030687"	"preribosome, large subunit precursor"	"YMR290C"	"HAS1"
"Q03532"	"GO:0000463"	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"YMR290C"	"HAS1"
"Q03532"	"GO:0042273"	"ribosomal large subunit biogenesis"	"YMR290C"	"HAS1"
"Q03532"	"GO:0042802"	"identical protein binding"	"YMR290C"	"HAS1"
"Q03532"	"GO:0003723"	"RNA binding"	"YMR290C"	"HAS1"
"Q03532"	"GO:0005730"	"nucleolus"	"YMR290C"	"HAS1"
"Q03532"	"GO:0005524"	"ATP binding"	"YMR290C"	"HAS1"
"Q03532"	"GO:0005737"	"cytoplasm"	"YMR290C"	"HAS1"
"Q08498"	"GO:0016021"	"integral component of membrane"	"YOR082C"	""
"P06367"	"GO:0070181"	"small ribosomal subunit rRNA binding"	"YCR031C"	"RPS14A"
"P06367"	"GO:0005840"	"ribosome"	"YCR031C"	"RPS14A"
"P06367"	"GO:0000028"	"ribosomal small subunit assembly"	"YCR031C"	"RPS14A"
"P06367"	"GO:0022627"	"cytosolic small ribosomal subunit"	"YCR031C"	"RPS14A"
"P06367"	"GO:0048027"	"mRNA 5'-UTR binding"	"YCR031C"	"RPS14A"
"P06367"	"GO:0000462"	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"YCR031C"	"RPS14A"
"P06367"	"GO:0032040"	"small-subunit processome"	"YCR031C"	"RPS14A"
"P06367"	"GO:0031167"	"rRNA methylation"	"YCR031C"	"RPS14A"
"P06367"	"GO:0005654"	"nucleoplasm"	"YCR031C"	"RPS14A"
"P06367"	"GO:0006412"	"translation"	"YCR031C"	"RPS14A"
"P06367"	"GO:0003729"	"mRNA binding"	"YCR031C"	"RPS14A"
"P06367"	"GO:0002181"	"cytoplasmic translation"	"YCR031C"	"RPS14A"
"P06367"	"GO:0003735"	"structural constituent of ribosome"	"YCR031C"	"RPS14A"
"P06367"	"GO:0005730"	"nucleolus"	"YCR031C"	"RPS14A"
"P38358"	"GO:0015174"	"basic amino acid transmembrane transporter activity"	"YBR293W"	"VBA2"
"P38358"	"GO:0015802"	"basic amino acid transport"	"YBR293W"	"VBA2"
"P38358"	"GO:0022857"	"transmembrane transporter activity"	"YBR293W"	"VBA2"
"P38358"	"GO:0000329"	"fungal-type vacuole membrane"	"YBR293W"	"VBA2"
"P38358"	"GO:0016021"	"integral component of membrane"	"YBR293W"	"VBA2"
"P38358"	"GO:0055085"	"transmembrane transport"	"YBR293W"	"VBA2"
"P46999"	"GO:0005199"	"structural constituent of cell wall"	"YJL160C"	"PIR5"
"P46999"	"GO:0005618"	"cell wall"	"YJL160C"	"PIR5"
"P46999"	"GO:0005576"	"extracellular region"	"YJL160C"	"PIR5"
"P38615"	"GO:0071472"	"cellular response to salt stress"	"YMR139W"	"RIM11"
"P38615"	"GO:0004672"	"protein kinase activity"	"YMR139W"	"RIM11"
"P38615"	"GO:0006508"	"proteolysis"	"YMR139W"	"RIM11"
"P38615"	"GO:0006468"	"protein phosphorylation"	"YMR139W"	"RIM11"
"P38615"	"GO:0004674"	"protein serine/threonine kinase activity"	"YMR139W"	"RIM11"
"P38615"	"GO:0034605"	"cellular response to heat"	"YMR139W"	"RIM11"
"P38615"	"GO:0030437"	"ascospore formation"	"YMR139W"	"RIM11"
"P38615"	"GO:0005524"	"ATP binding"	"YMR139W"	"RIM11"
"P50943"	"GO:0006355"	"regulation of transcription, DNA-templated"	"YNL105W"	"RRT16"
"P50943"	"GO:0006351"	"transcription, DNA-templated"	"YNL105W"	"RRT16"
"P50943"	"GO:0016021"	"integral component of membrane"	"YNL105W"	"RRT16"
"Q07509"	"GO:0016021"	"integral component of membrane"	"YDL094C"	""
"Q04083"	"GO:0031966"	"mitochondrial membrane"	"YDR438W"	"THI74"
"Q04083"	"GO:0005739"	"mitochondrion"	"YDR438W"	"THI74"
"Q04083"	"GO:0016021"	"integral component of membrane"	"YDR438W"	"THI74"
"P08458"	"GO:0008349"	"MAP kinase kinase kinase kinase activity"	"YDR523C"	"SPS1"
"P08458"	"GO:0004672"	"protein kinase activity"	"YDR523C"	"SPS1"
"P08458"	"GO:0023014"	"signal transduction by protein phosphorylation"	"YDR523C"	"SPS1"
"P08458"	"GO:0032147"	"activation of protein kinase activity"	"YDR523C"	"SPS1"
"P08458"	"GO:0030476"	"ascospore wall assembly"	"YDR523C"	"SPS1"
"P08458"	"GO:0006468"	"protein phosphorylation"	"YDR523C"	"SPS1"
"P08458"	"GO:0042981"	"regulation of apoptotic process"	"YDR523C"	"SPS1"
"P08458"	"GO:0007346"	"regulation of mitotic cell cycle"	"YDR523C"	"SPS1"
"P08458"	"GO:0031098"	"stress-activated protein kinase signaling cascade"	"YDR523C"	"SPS1"
"P08458"	"GO:0030437"	"ascospore formation"	"YDR523C"	"SPS1"
"P08458"	"GO:0005634"	"nucleus"	"YDR523C"	"SPS1"
"P08458"	"GO:0032120"	"ascospore-type prospore membrane formation"	"YDR523C"	"SPS1"
"P08458"	"GO:0005628"	"prospore membrane"	"YDR523C"	"SPS1"
"P08458"	"GO:0005524"	"ATP binding"	"YDR523C"	"SPS1"
"P08458"	"GO:0005737"	"cytoplasm"	"YDR523C"	"SPS1"
"Q03050"	"GO:0006950"	"response to stress"	"YDR542W"	"PAU10"
"A0A023PXG3"	"GO:0016021"	"integral component of membrane"	"YIL156W-A"	""
"O13559"	"GO:0003676"	"nucleic acid binding"	"YLR466W"	"YRF1-4"
"O13559"	"GO:0003678"	"DNA helicase activity"	"YLR466W"	"YRF1-4"
"O13559"	"GO:0000722"	"telomere maintenance via recombination"	"YLR466W"	"YRF1-4"
"O13559"	"GO:0005634"	"nucleus"	"YLR466W"	"YRF1-4"
"O13559"	"GO:0005524"	"ATP binding"	"YLR466W"	"YRF1-4"
"Q08961"	"GO:0018023"	"peptidyl-lysine trimethylation"	"YPL208W"	"RKM1"
"Q08961"	"GO:0018027"	"peptidyl-lysine dimethylation"	"YPL208W"	"RKM1"
"Q08961"	"GO:0016279"	"protein-lysine N-methyltransferase activity"	"YPL208W"	"RKM1"
"Q08961"	"GO:0018026"	"peptidyl-lysine monomethylation"	"YPL208W"	"RKM1"
"Q08961"	"GO:0042254"	"ribosome biogenesis"	"YPL208W"	"RKM1"
"Q08961"	"GO:0005730"	"nucleolus"	"YPL208W"	"RKM1"
"Q08961"	"GO:0005737"	"cytoplasm"	"YPL208W"	"RKM1"
"Q08961"	"GO:0005515"	"protein binding"	"YPL208W"	"RKM1"
"Q12202"	"GO:0030476"	"ascospore wall assembly"	"YLR054C"	"OSW2"
"Q12202"	"GO:0005628"	"prospore membrane"	"YLR054C"	"OSW2"
"Q12202"	"GO:0005737"	"cytoplasm"	"YLR054C"	"OSW2"
"P10863"	"GO:0005199"	"structural constituent of cell wall"	"YER011W"	"TIR1"
"P10863"	"GO:0005618"	"cell wall"	"YER011W"	"TIR1"
"P10863"	"GO:0006950"	"response to stress"	"YER011W"	"TIR1"
"P10863"	"GO:0009277"	"fungal-type cell wall"	"YER011W"	"TIR1"
"P10863"	"GO:0031225"	"anchored component of membrane"	"YER011W"	"TIR1"
"P10863"	"GO:0005576"	"extracellular region"	"YER011W"	"TIR1"
"O13577"	"GO:1990846"	"ribonucleoside-diphosphate reductase inhibitor activity"	"YLR437C"	"DIF1"
"O13577"	"GO:1905117"	"regulation of ribonucleoside-diphosphate reductase activity"	"YLR437C"	"DIF1"
"O13577"	"GO:0034613"	"cellular protein localization"	"YLR437C"	"DIF1"
"O13577"	"GO:0005634"	"nucleus"	"YLR437C"	"DIF1"
"O13577"	"GO:0005737"	"cytoplasm"	"YLR437C"	"DIF1"
"P53755"	"GO:0034450"	"ubiquitin-ubiquitin ligase activity"	"YNR069C"	"BSC5"
"P53755"	"GO:0006513"	"protein monoubiquitination"	"YNR069C"	"BSC5"
"P53755"	"GO:0000151"	"ubiquitin ligase complex"	"YNR069C"	"BSC5"
"P53755"	"GO:0000209"	"protein polyubiquitination"	"YNR069C"	"BSC5"
"Q03419"	"GO:0006882"	"cellular zinc ion homeostasis"	"YDR492W"	"IZH1"
"Q03419"	"GO:0005789"	"endoplasmic reticulum membrane"	"YDR492W"	"IZH1"
"Q03419"	"GO:0016021"	"integral component of membrane"	"YDR492W"	"IZH1"
"P42933"	"GO:0043248"	"proteasome assembly"	"YMR191W"	"SPG5"
"P42933"	"GO:0070628"	"proteasome binding"	"YMR191W"	"SPG5"
"Q08231"	"GO:0071033"	"nuclear retention of pre-mRNA at the site of transcription"	"YOL072W"	"THP1"
"Q08231"	"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"YOL072W"	"THP1"
"Q08231"	"GO:0016973"	"poly(A)+ mRNA export from nucleus"	"YOL072W"	"THP1"
"Q08231"	"GO:0005635"	"nuclear envelope"	"YOL072W"	"THP1"
"Q08231"	"GO:0070390"	"transcription export complex 2"	"YOL072W"	"THP1"
"Q08231"	"GO:0003690"	"double-stranded DNA binding"	"YOL072W"	"THP1"
"Q08231"	"GO:0031124"	"mRNA 3'-end processing"	"YOL072W"	"THP1"
"Q08231"	"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	"YOL072W"	"THP1"
"Q08231"	"GO:0006406"	"mRNA export from nucleus"	"YOL072W"	"THP1"
"Q08231"	"GO:0000973"	"posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery"	"YOL072W"	"THP1"
"Q08231"	"GO:0003723"	"RNA binding"	"YOL072W"	"THP1"
"Q08231"	"GO:0005634"	"nucleus"	"YOL072W"	"THP1"
"P32465"	"GO:0015146"	"pentose transmembrane transporter activity"	"YHR094C"	"HXT1"
"P32465"	"GO:0005354"	"galactose transmembrane transporter activity"	"YHR094C"	"HXT1"
"P32465"	"GO:0015761"	"mannose transmembrane transport"	"YHR094C"	"HXT1"
"P32465"	"GO:0022857"	"transmembrane transporter activity"	"YHR094C"	"HXT1"
"P32465"	"GO:0016020"	"membrane"	"YHR094C"	"HXT1"
"P32465"	"GO:0005353"	"fructose transmembrane transporter activity"	"YHR094C"	"HXT1"
"P32465"	"GO:0005351"	"carbohydrate:proton symporter activity"	"YHR094C"	"HXT1"
"P32465"	"GO:0005886"	"plasma membrane"	"YHR094C"	"HXT1"
"P32465"	"GO:0015578"	"mannose transmembrane transporter activity"	"YHR094C"	"HXT1"
"P32465"	"GO:0016021"	"integral component of membrane"	"YHR094C"	"HXT1"
"P32465"	"GO:0055085"	"transmembrane transport"	"YHR094C"	"HXT1"
"P32465"	"GO:0046323"	"glucose import"	"YHR094C"	"HXT1"
"P32465"	"GO:0005355"	"glucose transmembrane transporter activity"	"YHR094C"	"HXT1"
"P38736"	"GO:0048193"	"Golgi vesicle transport"	"YHL031C"	"GOS1"
"P38736"	"GO:0048209"	"regulation of vesicle targeting, to, from or within Golgi"	"YHL031C"	"GOS1"
"P38736"	"GO:0006906"	"vesicle fusion"	"YHL031C"	"GOS1"
"P38736"	"GO:0005484"	"SNAP receptor activity"	"YHL031C"	"GOS1"
"P38736"	"GO:0006891"	"intra-Golgi vesicle-mediated transport"	"YHL031C"	"GOS1"
"P38736"	"GO:0005797"	"Golgi medial cisterna"	"YHL031C"	"GOS1"
"P38736"	"GO:0005801"	"cis-Golgi network"	"YHL031C"	"GOS1"
"P38736"	"GO:0000139"	"Golgi membrane"	"YHL031C"	"GOS1"
"P38736"	"GO:0031201"	"SNARE complex"	"YHL031C"	"GOS1"
"P38736"	"GO:0015031"	"protein transport"	"YHL031C"	"GOS1"
"P38736"	"GO:0000149"	"SNARE binding"	"YHL031C"	"GOS1"
"P38736"	"GO:0006888"	"endoplasmic reticulum to Golgi vesicle-mediated transport"	"YHL031C"	"GOS1"
"P38736"	"GO:0016021"	"integral component of membrane"	"YHL031C"	"GOS1"
"Q08909"	"GO:0005737"	"cytoplasm"	"YOR385W"	""
"P53152"	"GO:0031371"	"ubiquitin conjugating enzyme complex"	"YGL087C"	"MMS2"
"P53152"	"GO:0070534"	"protein K63-linked ubiquitination"	"YGL087C"	"MMS2"
"P53152"	"GO:0016874"	"ligase activity"	"YGL087C"	"MMS2"
"P53152"	"GO:0010994"	"free ubiquitin chain polymerization"	"YGL087C"	"MMS2"
"P53152"	"GO:0006301"	"postreplication repair"	"YGL087C"	"MMS2"
"P53152"	"GO:0061630"	"ubiquitin protein ligase activity"	"YGL087C"	"MMS2"
"P53152"	"GO:0004842"	"ubiquitin-protein transferase activity"	"YGL087C"	"MMS2"
"P53152"	"GO:0000209"	"protein polyubiquitination"	"YGL087C"	"MMS2"
"P53152"	"GO:0031625"	"ubiquitin protein ligase binding"	"YGL087C"	"MMS2"
"P53152"	"GO:0005634"	"nucleus"	"YGL087C"	"MMS2"
"P53152"	"GO:0005737"	"cytoplasm"	"YGL087C"	"MMS2"
"Q3E846"	"GO:0042774"	"plasma membrane ATP synthesis coupled electron transport"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0033617"	"mitochondrial cytochrome c oxidase assembly"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0005758"	"mitochondrial intermembrane space"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0005634"	"nucleus"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0005739"	"mitochondrion"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0005507"	"copper ion binding"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0006878"	"cellular copper ion homeostasis"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0008535"	"respiratory chain complex IV assembly"	"YMR244C-A"	"COA6"
"Q3E846"	"GO:0005886"	"plasma membrane"	"YMR244C-A"	"COA6"
"P42847"	"GO:0070181"	"small ribosomal subunit rRNA binding"	"YNL306W"	"MRPS18"
"P42847"	"GO:0005840"	"ribosome"	"YNL306W"	"MRPS18"
"P42847"	"GO:0000028"	"ribosomal small subunit assembly"	"YNL306W"	"MRPS18"
"P42847"	"GO:0048027"	"mRNA 5'-UTR binding"	"YNL306W"	"MRPS18"
"P42847"	"GO:0000462"	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"YNL306W"	"MRPS18"
"P42847"	"GO:0006412"	"translation"	"YNL306W"	"MRPS18"
"P42847"	"GO:0032543"	"mitochondrial translation"	"YNL306W"	"MRPS18"
"P42847"	"GO:0003735"	"structural constituent of ribosome"	"YNL306W"	"MRPS18"
"P42847"	"GO:0005763"	"mitochondrial small ribosomal subunit"	"YNL306W"	"MRPS18"
"Q12282"	"GO:0009277"	"fungal-type cell wall"	"YOR214C"	""
"Q12282"	"GO:0031225"	"anchored component of membrane"	"YOR214C"	""
"Q12282"	"GO:0005576"	"extracellular region"	"YOR214C"	""
"Q12177"	"GO:0003824"	"catalytic activity"	"YLL056C"	""
"Q12177"	"GO:0050662"	"obsolete coenzyme binding"	"YLL056C"	""
"Q08268"	"GO:0006810"	"transport"	"YOL119C"	"MCH4"
"Q08268"	"GO:0034220"	"ion transmembrane transport"	"YOL119C"	"MCH4"
"Q08268"	"GO:0022857"	"transmembrane transporter activity"	"YOL119C"	"MCH4"
"Q08268"	"GO:0015293"	"symporter activity"	"YOL119C"	"MCH4"
"Q08268"	"GO:0005215"	"transporter activity"	"YOL119C"	"MCH4"
"Q08268"	"GO:0071627"	"integral component of fungal-type vacuolar membrane"	"YOL119C"	"MCH4"
"Q08268"	"GO:0000329"	"fungal-type vacuole membrane"	"YOL119C"	"MCH4"
"Q08268"	"GO:0055085"	"transmembrane transport"	"YOL119C"	"MCH4"
"P39531"	"GO:0032456"	"endocytic recycling"	"YJL204C"	"RCY1"
"P39531"	"GO:0000145"	"exocyst"	"YJL204C"	"RCY1"
"P39531"	"GO:0048278"	"vesicle docking"	"YJL204C"	"RCY1"
"P39531"	"GO:0034498"	"early endosome to Golgi transport"	"YJL204C"	"RCY1"
"P39531"	"GO:0051286"	"cell tip"	"YJL204C"	"RCY1"
"P39531"	"GO:0006893"	"Golgi to plasma membrane transport"	"YJL204C"	"RCY1"
"P39531"	"GO:0005768"	"endosome"	"YJL204C"	"RCY1"
"P39531"	"GO:0005935"	"cellular bud neck"	"YJL204C"	"RCY1"
"P39531"	"GO:0015031"	"protein transport"	"YJL204C"	"RCY1"
"P39531"	"GO:0006897"	"endocytosis"	"YJL204C"	"RCY1"
"P39531"	"GO:0000149"	"SNARE binding"	"YJL204C"	"RCY1"
"P39531"	"GO:0006887"	"exocytosis"	"YJL204C"	"RCY1"
"P39531"	"GO:0005794"	"Golgi apparatus"	"YJL204C"	"RCY1"
"P39531"	"GO:0005829"	"cytosol"	"YJL204C"	"RCY1"
"P39531"	"GO:0005737"	"cytoplasm"	"YJL204C"	"RCY1"
"P39531"	"GO:0030427"	"site of polarized growth"	"YJL204C"	"RCY1"
"P31383"	"GO:0006470"	"protein dephosphorylation"	"YAL016W"	"TPD3"
"P31383"	"GO:0000159"	"protein phosphatase type 2A complex"	"YAL016W"	"TPD3"
"P31383"	"GO:0005816"	"spindle pole body"	"YAL016W"	"TPD3"
"P31383"	"GO:0043332"	"mating projection tip"	"YAL016W"	"TPD3"
"P31383"	"GO:0007094"	"mitotic spindle assembly checkpoint"	"YAL016W"	"TPD3"
"P31383"	"GO:0005934"	"cellular bud tip"	"YAL016W"	"TPD3"
"P31383"	"GO:0005935"	"cellular bud neck"	"YAL016W"	"TPD3"
"P31383"	"GO:0006417"	"regulation of translation"	"YAL016W"	"TPD3"
"P31383"	"GO:0005634"	"nucleus"	"YAL016W"	"TPD3"
"P31383"	"GO:0005737"	"cytoplasm"	"YAL016W"	"TPD3"
"P40458"	"GO:0034045"	"phagophore assembly site membrane"	"YIL146C"	"ATG32"
"P40458"	"GO:0031307"	"integral component of mitochondrial outer membrane"	"YIL146C"	"ATG32"
