Accession	Description	PrimaryGeneName	GeneName	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW
W0T305	tRNA (Uracil-5-)-methyltransferase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TRM2 PE=3 SV=1	TRM2	KLMA_10345	8.81877557351961e-06	9.40854932527977e-06	8.62195402112806e-06
W0T316	Transcription initiation factor IIE subunit beta OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TFA2 PE=4 SV=2	TFA2	KLMA_10360	1.25835404308244e-05	1.3752645828271e-05	1.21337985448276e-05
W0T318	tRNA (Guanine-N(1)-)-methyltransferase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TRM10 PE=4 SV=1	TRM10	KLMA_10168	1.22575911753577e-05	1.31076279006607e-05	1.26610355733078e-05
W0T321	Presequence translocated-associated motor subunit PAM17 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PAM17 PE=4 SV=1	PAM17	KLMA_10365	1.76475071436515e-05	1.9444446003836e-05	1.72788136367822e-05
W0T330	Autophagy-related protein 27 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ATG27 PE=4 SV=1	ATG27	KLMA_10375	1.05583632979584e-05	1.11539150293979e-05	1.02889662011559e-05
W0T339	Actin-related protein 2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ARP2 PE=3 SV=1	ARP2	KLMA_10173	7.24221189721971e-05	7.46663271470504e-05	6.9653361250211e-05
W0T342	Cytochrome b-c1 complex subunit 8 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=QCR8 PE=4 SV=1	QCR8	KLMA_10390	1.20831567128991e-05	1.36105838935476e-05	1.30916307279563e-05
W0T343	Protein MAM3 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MAM3 PE=4 SV=1	MAM3	KLMA_10178	1.33908655416864e-05	1.44771308470503e-05	1.31583780135596e-05
W0T349	Ubiquitin-like protein MDY2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MDY2 PE=4 SV=1	MDY2	KLMA_10400	1.44721788060413e-05	1.56684750542588e-05	1.55724427477455e-05
W0T354	Bud site selection protein 21 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10405 PE=4 SV=1		KLMA_10405	7.28655529264171e-06	6.79566012758099e-06	6.53456399947712e-06
W0T355	Serine/threonine-protein kinase KIN3 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KIN3 PE=3 SV=1	KIN3	KLMA_10188	4.85961527520803e-06	5.03721216933902e-06	5.00655015532357e-06
W0T359	54S ribosomal protein L20 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MRPL20 PE=4 SV=1	MRPL20	KLMA_10410	2.70379650613698e-05	2.62016281607297e-05	2.34894093248133e-05
W0T369	DNA repair protein RAD7 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RAD7 PE=4 SV=1	RAD7	KLMA_10420	1.98008767417288e-05	2.10910393992425e-05	2.01300853312084e-05
W0T371	Peroxisomal biogenesis factor 8 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PEX8 PE=4 SV=1	PEX8	KLMA_10208	1.11118254801353e-06	1.14588860629899e-06	1.10343267590523e-06
W0T373	Pre-mRNA-splicing factor RSE1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RSE1 PE=4 SV=1	RSE1	KLMA_10425	5.79681672487485e-06	6.13101111067231e-06	5.91042242036222e-06
W0T381	Uncharacterized protein YLR287C OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10218 PE=4 SV=1		KLMA_10218	8.5667162704383e-06	8.97151827405305e-06	8.24212522186376e-06
W0T382	Putative prolyl-tRNA synthetase YHR020W OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10435 PE=3 SV=1		KLMA_10435	0.000124615046006905	0.000132175747867046	0.000123036532355041
W0T390	Transcription factor tau 138 kDa subunit OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TFC3 PE=4 SV=1	TFC3	KLMA_10445	6.62133963558946e-06	7.227651973752e-06	6.44641351611394e-06
W0T393	Uncharacterized protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10233 PE=4 SV=1		KLMA_10233	1.71141939841899e-06	1.65762056826805e-06	1.70869807534776e-06
W0T3A2	Siroheme biosynthesis protein MET8 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MET8 PE=4 SV=1	MET8	KLMA_10243	2.29675609423936e-05	2.47065241311593e-05	2.23119660796944e-05
W0T3A3	GAL4-like Zn2Cys6 binuclear cluster DNA-binding domain OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PDR1 PE=4 SV=1	PDR1	KLMA_10460	4.67632566981797e-06	5.11091966267973e-06	4.78913063423038e-06
W0T3A6	Protein-serine/threonine kinase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PKP2 PE=3 SV=1	PKP2	KLMA_10248	7.59891606170347e-06	8.14739649549582e-06	7.57079685726586e-06
W0T3B0	Pyruvate carboxylase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PYC2 PE=4 SV=1	PYC2	KLMA_10253	0.000609738999132618	0.000654911681122941	0.000602784485343196
W0T3B6	High-affinity nicotinic acid transporter OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TNA1 PE=4 SV=1	TNA1	KLMA_10475	2.08324842388287e-05	1.8825928794498e-05	1.90813747048102e-05
W0T3B9	Sorting nexin MVP1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MVP1 PE=4 SV=1	MVP1	KLMA_10263	4.49475743078093e-06	4.60745628049716e-06	4.3973815021671e-06
W0T3C1	AP-3 complex subunit beta OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=APL6 PE=4 SV=1	APL6	KLMA_10480	2.47594919028714e-05	2.60486045239384e-05	2.3460201730142e-05
W0T3D1	Exoribonuclease II OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=DSS1 PE=4 SV=1	DSS1	KLMA_10278	5.48475214438174e-06	6.10567652822278e-06	5.47836832919847e-06
W0T3D3	Antiviral helicase SLH1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SLH1 PE=4 SV=1	SLH1	KLMA_10495	3.69909472249435e-05	3.90407343251146e-05	3.64796263033102e-05
W0T3D4	Mitochondrial distribution and morphology protein 32 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MDM32 PE=4 SV=1	MDM32	KLMA_10283	2.46949886857231e-06	2.4708025088566e-06	2.36797196782864e-06
W0T3D7	Ceramide synthase subunit LIP1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=LIP1 PE=4 SV=1	LIP1	KLMA_10500	5.98041982197059e-06	6.01953789660155e-06	5.92309602895891e-06
