Accession	Description	PrimaryGeneName	Rxn	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW	organism
Q12189	Ribose-5-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RKI1 PE=1 SV=1	RKI1_Sce	RKI	3.68112288516177e-05	3.07760485186212e-05	3.33366917338645e-05	Sce
W0T3V9	6-phosphogluconate dehydrogenase, decarboxylating OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GND1 PE=3 SV=1	GND1_Kma	GND	0.00151537483324004	0.00155797102220678	0.00148233599464393	Kma
W0T4I6	6-phosphogluconolactonase-like protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SOL3 PE=3 SV=1	SOL3_Kma	PGL	5.73345105078497e-05	5.82076394203824e-05	5.39318473294463e-05	Kma
W0TCV6	Transaldolase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TAL1 PE=3 SV=1	TAL1_Kma	TAL	0.000626301645787622	0.000640574250374688	0.000615937987989396	Kma
W0TCY6	Glucose-6-phosphate 1-dehydrogenase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ZWF PE=3 SV=1	ZWF	ZWF	0.000138484841832862	0.000148548257183482	0.000137329084217201	Kma
W0TD99	Ribulose-phosphate 3-epimerase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RPE1 PE=3 SV=1	RPE1_Kma	RPE	8.25668041766747e-06	8.37287174356621e-06	7.85021625737701e-06	Kma
W0TF97	6-phosphogluconolactonase-like protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SOL1 PE=3 SV=1	SOL1_Kma	PGL	1.46678610625562e-05	1.58676092641317e-05	1.42461041119908e-05	Kma
W0TFW7	Ribose-5-phosphate isomerase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RKI1 PE=4 SV=1	RKI1_Kma	RKI	3.10750517546331e-05	3.32435496484035e-05	3.11955420179631e-05	Kma
W0THR5	Transketolase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TKL1 PE=3 SV=1	TKL1_Kma	TKL	0.000966521585421548	0.00101148391228681	0.000917919348794968	Kma
A3GI40	6-phosphogluconate dehydrogenase, decarboxylating OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=GND1 PE=3 SV=1	GND1_Sstip	GND	0.00129023145919583	0.00178118087300088	0.00131723029940511	Sstip
A3LP13	Ribose-5-phosphate isomerase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=RKI1 PE=3 SV=1	RKI1_Sstip	RKI	4.00121960033554e-05	5.73864303920377e-05	4.11192200499752e-05	Sstip
A3LPA4	6-phosphogluconolactonase-like protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=SOL2 PE=3 SV=2	SOL2_Sstip	PGL	4.9173524098737e-05	6.76137010703199e-05	5.00526759855006e-05	Sstip
A3LW67	6-phosphogluconolactonase-like protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=SOL1 PE=3 SV=1	SOL1_Sstip	PGL	1.81781938371687e-05	2.36963447306509e-05	1.7505626394078e-05	Sstip
A3LYR5	Glucose-6-phosphate 1-dehydrogenase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=ZWF1 PE=3 SV=2	ZWF1_Sstip	ZWF	0.000137832621447148	0.000183169210633131	0.000136833681937292	Sstip
A3M0D0	Transaldolase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=TAL1 PE=3 SV=1	TAL1_Sstip	TAL	0.0011526240333449	0.00155905799693042	0.00116014069393615	Sstip
A3M0L9	Ribulose-phosphate 3-epimerase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=RPE1 PE=3 SV=2	RPE1_Sstip	RPE	2.31121513993646e-05	3.30091501142426e-05	2.32358779123795e-05	Sstip
P34736	Transketolase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=TKT PE=1 SV=2	TKT	TKL	0.00265910030302637	0.00376574619288757	0.00280109130550751	Sstip
