Accession	Description	PrimaryGeneName	GeneName	mass_ratio_repl1	mass_ratio_repl2	mass_ratio_repl3
C6Y4D2	Probable 54S ribosomal protein MRP49, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mrp49 PE=3 SV=1	mrp49	SPCC1442.19	1.21300136531455e-05	1.18560105265423e-05	1.17371633855298e-05
G2TRJ4	Uncharacterized protein tam1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tam1 PE=2 SV=1	tam1	SPAC222.19	2.52680736747633e-06	2.5147703909978e-06	2.81018849655723e-06
G2TRJ9	Cytochrome c oxidase assembly factor 3, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=coa3 PE=2 SV=1	coa3	SPAC1B3.21	4.39265983592213e-06	4.48279975792498e-06	4.47780543810805e-06
G2TRL5	Uncharacterized protein new2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=new2 PE=2 SV=1	new2	SPAC1805.18	1.49616326802235e-06	1.47886029675099e-06	1.502636411743e-06
G2TRL7	S-phase delaying protein 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=spd2 PE=3 SV=1	spd2	SPAC3F10.19	1.13197383138595e-05	1.08568039950322e-05	1.09171197797938e-05
G2TRM0	ATP synthase assembly factor fmc1, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=fmc1 PE=2 SV=1	fmc1	SPAC1486.11	1.15179949323136e-05	1.08425449517451e-05	1.22861945421631e-05
G2TRM6	Uncharacterized protein new4 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=new4 PE=1 SV=1	new4	SPAC3H5.13	7.72579255187152e-06	1.34284622139107e-05	7.10010095061135e-06
G2TRN2	Uncharacterized protein new9 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=new9 PE=2 SV=1	new9	SPAC926.10	1.11772960603473e-06	1.02607853556791e-06	9.99229294614597e-07
G2TRN4	Enhancer of rudimentary homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=new10 PE=2 SV=1	erh1	SPAC19G12.17	7.51823982644699e-06	7.42883198776784e-06	8.47631092798368e-06
G2TRP2	Putative mitochondrial ribosomal protein new15, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=new15 PE=2 SV=1	new15	SPBC8D2.23	5.4996554642209e-06	5.73456975637951e-06	5.46124932288201e-06
G2TRP3	37S ribosomal protein YMR-31, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ymr31 PE=3 SV=1	ymr31	SPBC21B10.14	5.8890492815366e-06	4.76458268365431e-06	5.47862060724268e-06
G2TRP5	Cytochrome c oxidase subunit 7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cox7 PE=3 SV=1	cox7	SPBC2F12.17	2.93410035726085e-05	3.22142803146091e-05	2.67171119172482e-05
G2TRP6	Cytochrome c oxidase subunit 6B-like protein new16 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=new16 PE=2 SV=1	new16	SPBC24C6.13	2.33200254631257e-05	2.42775335431794e-05	2.33747709118968e-05
G2TRP7	Mitochondrial import receptor subunit tom5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tom5 PE=3 SV=1	tom5	SPBC19G7.19	1.71061492035317e-05	1.74682817370798e-05	1.73453686941909e-05
G2TRP8	Mitochondrial zinc maintenance protein 1, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=new18 PE=2 SV=1	new18	SPBC30D10.21	4.01098805298613e-06	3.87181667443278e-06	5.38545372198988e-06
G2TRP9	Cytochrome c oxidase assembly protein cox20, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cox20 PE=3 SV=1	cox20	SPBC25H2.18	8.3472002151208e-06	8.29008427230604e-06	8.34392501614067e-06
G2TRQ0	Uncharacterized protein tam13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tam13 PE=2 SV=1	tam13	SPBC56F2.15	3.77958438988238e-06	4.22449493621306e-06	4.36905683267657e-06
G2TRQ2	Uncharacterized protein tam8 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tam8 PE=2 SV=1	tam8	SPBC3H7.18	1.56144240367848e-05	1.5956387120978e-05	1.55097139561292e-05
G2TRQ4	Uncharacterized protein P23A10.17 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBP23A10.17 PE=3 SV=1		SPBP23A10.17	5.32672206677297e-06	5.21338737640983e-06	5.31838234694935e-06
G2TRQ6	Uncharacterized protein tam11 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tam11 PE=1 SV=1	tam11	SPBC17D1.17	3.26424133457371e-06	3.60141383574127e-06	3.22601595654763e-06
G2TRQ8	54S ribosomal protein L36, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tam9 PE=2 SV=1	tam9	SPBC1711.18	8.48432038934144e-06	8.39107423837077e-06	8.39310413908825e-06
G2TRQ9	Uncharacterized protein tam10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tam10 PE=1 SV=1	tam10	SPBC14C8.19	5.46955471341648e-06	6.14000299790566e-06	4.93236592640041e-06
G2TRS3	Protein kish OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ksh1 PE=2 SV=1	ksh1	SPBC530.16	5.51372900856412e-06	5.02360195608368e-06	5.09261088654073e-06
G2TRT3	Protein tam14 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tam14 PE=2 SV=1	tam14	SPCC330.20	8.43226508395772e-05	8.11227996148136e-05	7.67761161792431e-05
G2TRT6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 homolog OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC417.16 PE=3 SV=1		SPCC417.16	5.13311923921951e-05	5.04404760807041e-05	5.13725540427072e-05
G2TRU5	COX assembly mitochondrial protein 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cmc2 PE=1 SV=1	cmc2	SPCC4B3.20	9.56736566024194e-06	9.54002544446739e-06	9.22461682039118e-06
O00084	Urease OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ure1 PE=1 SV=1	ure1	SPAC1952.11c	0.000121445798700218	0.000123590544228288	0.000125924475283802
O00087	Dihydrolipoyl dehydrogenase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=dld1 PE=2 SV=2	dld1	SPAC1002.09c	0.000731032974042098	0.000707010260042441	0.000717990836323184
O00091	Glucose-6-phosphate 1-dehydrogenase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=zwf1 PE=3 SV=2	zwf1	SPAC3A12.18 SPAC9.01	0.000628916386904286	0.000623323529918421	0.00063028269233928
O00102	Ubiquitin-conjugating enzyme E2-18 kDa OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ubc7 PE=1 SV=2	ubc7	SPBP16F5.04	4.68769940222777e-05	4.56610361438809e-05	5.16651967431786e-05
O00103	Ubiquitin-conjugating enzyme E2-20 kDa OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ubc11 PE=3 SV=1	ubc11	SPCC1259.15c	5.52132464921546e-05	5.32776055852728e-05	4.84333068581959e-05
O13282	Transcription initiation factor TFIID subunit 5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=taf5 PE=1 SV=1	taf5	SPCC5E4.03c	4.44382648521455e-05	4.55472121800384e-05	4.37777141931112e-05
O13286	WD repeat-containing protein srw1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=srw1 PE=1 SV=1	srw1	SPAC144.13c	8.56236114802462e-07	8.48675337094887e-07	8.0406977252768e-07
O13298	Histone deacetylase phd1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=phd1 PE=1 SV=1	phd1	SPAC3G9.07c	4.35240393828045e-06	4.19344550735169e-06	4.18162020272101e-06
O13310	Serine/threonine-protein kinase orb6 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=orb6 PE=1 SV=1	orb6	SPAC821.12	2.64067515698408e-05	2.64935405970236e-05	2.62804959806358e-05
O13326	Homocysteine synthase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=met17 PE=1 SV=1	met17	SPBC428.11	0.00102578691225532	0.00105180099066898	0.0010570980189273
O13351	Ubiquitin-like protein pmt3/smt3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pmt3 PE=1 SV=2	pmt3	SPBC365.06	0.000281120798319041	0.000266938359771275	0.000283568592577972
O13370	ATP-dependent RNA helicase ded1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ded1 PE=1 SV=1	ded1	SPCC1795.11	0.00144085848717168	0.00144559404527616	0.00144995089755648
O13453	Tyrosine-protein phosphatase pmp1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pmp1 PE=3 SV=1	pmp1	SPBC1685.01	1.8098041424774e-06	1.8722351281729e-06	1.69502658513222e-06
O13601	DnaJ-related protein rsp1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rsp1 PE=1 SV=1	rsp1	pi006 SPBC11B10.05c	7.18962861595069e-06	6.02337886594368e-06	6.3519978758786e-06
O13602	Probable 37S ribosomal protein S28, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mrps28 PE=3 SV=1	mrps28	pi007 SPBC11B10.04c	2.16558321877602e-05	2.05804707847915e-05	2.09868708616942e-05
O13610	rRNA-processing protein fcf1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=fcf1 PE=1 SV=1	fcf1	SPBC32H8.04c	2.61591166660168e-05	2.52446679186131e-05	2.44318546072965e-05
O13612	NEDD8-specific protease 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=nep2 PE=1 SV=1	nep2	pi021 SPBC32H8.02c	1.40288595086221e-05	1.38383485107813e-05	1.39658052736516e-05
O13614	40S ribosomal protein S10-B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rps1002 PE=3 SV=1	rps1002	pi023 SPBP22H7.08	0.00105080402235238	0.00105855870078384	0.00106278930868129
O13615	Pre-mRNA-splicing factor prp5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=prp5 PE=1 SV=1	prp5	pi024 SPBP22H7.07	3.67601700909484e-05	3.63694358680296e-05	3.58796749524443e-05
O13620	Multiple RNA-binding domain-containing protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mrd1 PE=3 SV=1	mrd1	pi029 SPBP22H7.02c	5.88707474134749e-05	5.62079302098925e-05	5.79956657438553e-05
O13621	Uncharacterized protein C691.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi030 PE=4 SV=1		pi030 SPBC691.05c SPBP22H7.01c	7.34581466901217e-05	7.38434069116282e-05	7.27082266789463e-05
O13622	ATP-dependent RNA helicase mss116, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mss116 PE=3 SV=1	mss116	SPACTOKYO_453.03c SPBC691.04	4.2012021039237e-05	4.35458267301208e-05	4.22058111056469e-05
O13632	Tyrosine-protein phosphatase yvh1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=yvh1 PE=3 SV=1	yvh1	pi040 SPBC17A3.06	3.3986777582556e-06	3.4984962819151e-06	3.46064579072129e-06
O13633	Uncharacterized J domain-containing protein C17A3.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi041 PE=1 SV=1		pi041 SPBC17A3.05c	6.56618153338273e-05	6.41438713576889e-05	6.36304537745889e-05
O13636	Mitochondrial import inner membrane translocase subunit tim50 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tim50 PE=3 SV=1	tim50	pi044 SPBC17A3.01c SPBC8D2.21c	6.39247594632071e-05	6.51989573659613e-05	7.10834254740076e-05
O13637	Protein transport protein sec31 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sec31 PE=1 SV=1	sec31	SPBC8D2.20c	0.00032585237984617	0.000329952412007507	0.00032542342008936
O13639	Adenosylhomocysteinase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi047 PE=3 SV=1		pi047 SPBC8D2.18c	0.00624544103006369	0.00631782436172289	0.00632421788558198
O13640	Uncharacterized alpha-1,2-galactosyltransferase C8D2.17 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi048 PE=3 SV=2		pi048 SPBC8D2.17	6.34993867305484e-05	6.23486424503575e-05	6.28137299026678e-05
O13641	Putative methyltransferase SPBC8D2.16c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi049 PE=3 SV=1		pi049 SPBC8D2.16c	1.4243485599746e-05	1.46364284088288e-05	1.39557522040484e-05
O13642	Lipoyl synthase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=lip5 PE=3 SV=2	lip5	pi050 SPBC8D2.15	2.6843076403751e-05	2.6974719667508e-05	2.6330452897449e-05
O13644	Integral membrane protein sed5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sed5 PE=3 SV=1	sed5	pi051 SPBC8D2.14c	1.35512709910753e-05	1.35105370808719e-05	1.41374398155575e-05
O13648	Ribosomal protein arginine N-methyltransferase rmt3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rmt3 PE=1 SV=3	rmt3	SPBC8D2.10c	0.000106270848135507	0.000108404549456946	0.000104909751708852
O13650	Putative transcription factor tau subunit sfc9 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sfc9 PE=4 SV=2	sfc9	SPBC8D2.07c	2.03698276106921e-05	1.91229236785048e-05	2.04575952841212e-05
O13651	Isoleucine--tRNA ligase, cytoplasmic OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=irs1 PE=3 SV=1	irs1	pi058 SPBC8D2.06	0.00125327012091521	0.00121370052743298	0.00121813189367183
O13656	Probable mitochondrial import receptor subunit tom40 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tom40 PE=3 SV=3	tom40	SPBC27B12.13 SPBC8D2.22	0.000134358768354252	0.000135602480483117	0.000129133266608727
O13657	Putative metal ion transporter C27B12.12c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi066 PE=1 SV=1		pi066 SPBC27B12.12c	0.0011953728927408	0.00121042687706542	0.00120190988307059
O13658	Uncharacterized transcriptional regulatory protein C27B12.11c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi067 PE=1 SV=1		pi067 SPBC27B12.11c	1.56204272864254e-05	1.57958814067882e-05	1.49286664642567e-05
O13660	Uncharacterized mitochondrial carrier C27B12.09c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pi069 PE=3 SV=1		pi069 SPBC27B12.09c	1.76999028386653e-06	1.72207054849318e-06	1.65430407510335e-06
O13665	Factor arrest protein 11 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=far11 PE=1 SV=1	far11	pi074 SPBC27B12.04c	7.01262435189708e-06	7.18662393244268e-06	7.0435650325314e-06
O13666	Delta(7)-sterol 5(6)-desaturase erg32 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=erg32 PE=3 SV=1	erg32	pi075 SPBC27B12.03c	9.76509030029242e-05	0.000102024263491202	9.89092169542023e-05
O13670	Protein MTO1 homolog, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mto1 PE=1 SV=1	mto1	pi079 SPBC30B4.06c	5.47946913584744e-06	5.24152262577688e-06	5.28199276694847e-06
O13671	Importin-alpha re-exporter OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=kap109 PE=3 SV=2	kap109	pi080 SPBC30B4.05	6.69816788525787e-05	6.67337235007723e-05	6.83501264916037e-05
O13672	60S ribosomal protein L8 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpl8 PE=1 SV=3	rpl8	SPBC29A3.04	0.00253424453993994	0.00257894128266323	0.00252868465328748
O13679	Uncharacterized protein C737.05 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC737.05 PE=1 SV=1		SPCC737.05	8.86732850175933e-06	9.05213605927209e-06	9.53319607181751e-06
O13681	Integral inner nuclear membrane protein ima1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=IMA1 PE=4 SV=2	IMA1	SPCC737.03c	1.11393828777375e-05	9.76513921867379e-06	9.93835507811388e-06
O13682	Helicase swr1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=swr1 PE=3 SV=1	swr1	SPAC11E3.01c SPAC2H10.03c	0.000164338564949035	0.000176876940609133	0.000162876947916764
O13683	Uncharacterized protein C11E3.02c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11E3.02c PE=4 SV=1		SPAC11E3.02c	5.17099254299834e-06	4.88615802953315e-06	4.90880111091609e-06
O13685	Ubiquitin-conjugating enzyme E2 13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ubc13 PE=1 SV=1	ubc13	SPAC11E3.04c	6.76215310341642e-05	6.93270447353363e-05	6.73804822832208e-05
O13686	Uncharacterized RWD, RING finger and WD repeat-containing protein C11E3.05 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11E3.05 PE=1 SV=1		SPAC11E3.05	0.000112166672891346	8.71923440095108e-05	9.19052656108685e-05
O13687	V-type proton ATPase subunit E OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=vma4 PE=3 SV=1	vma4	SPAC11E3.07	0.000279109323031788	0.000285247843068066	0.000280385488423025
O13689	Uncharacterized protein C11E3.10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11E3.10 PE=4 SV=2		SPAC11E3.10	1.94013546231869e-07	1.62979175605341e-07	1.74233346059803e-07
O13690	PH and SEC7 domain-containing protein C11E3.11c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11E3.11c PE=4 SV=1		SPAC11E3.11c	1.56053277921216e-05	1.5437469137048e-05	1.63230689015078e-05
O13691	NADH-ubiquinone oxidoreductase 24 kDa subunit homolog C11E3.12, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11E3.12 PE=3 SV=1		SPAC11E3.12	1.20811775801853e-06	1.0501163603426e-06	1.07601854980937e-06
O13692	1,3-beta-glucanosyltransferase gas5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gas5 PE=1 SV=1	gas5	SPAC11E3.13c	0.000112527691801943	0.000126041836048376	0.000117943884016605
O13693	Uncharacterized protein C11E3.14 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11E3.14 PE=2 SV=1		SPAC11E3.14	6.21978313708483e-05	6.18971649164913e-05	6.24033346718452e-05
O13695	Uncharacterized serine-rich protein C11G7.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11G7.01 PE=4 SV=1		SPAC11G7.01	2.50352533994772e-05	2.44181604521079e-05	2.51779544204367e-05
O13696	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=idh1 PE=1 SV=1	idh1	SPAC11G7.03	0.000205558774812566	0.000188286799282991	0.000191002686720295
O13698	Malonyl CoA-acyl carrier protein transacylase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mct1 PE=3 SV=1	mct1	SPAC11G7.05c	1.73565228770254e-06	1.71208413461954e-06	1.7608931404925e-06
O13701	Transcription initiation factor TFIID subunit 7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=taf7 PE=1 SV=1	taf7	SPAC13F5.02c	1.89616604904763e-05	1.85668807083396e-05	1.88296938211733e-05
O13702	Glycerol dehydrogenase 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gld1 PE=1 SV=1	gld1	SPAC13F5.03c	2.50908248964062e-05	2.48930195576097e-05	2.42019307857805e-05
O13703	Vacuolar protein sorting-associated protein vts1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=vts1 PE=3 SV=2	vts1	SPAC13F5.04c SPAC13F5.08	1.46840291865801e-05	1.52612761555692e-05	1.59018633853617e-05
O13704	Thioredoxin domain-containing protein C13F5.05, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC13F5.05 PE=4 SV=2		SPAC13F5.05	9.97954892714267e-05	9.66241406221836e-05	9.68913887037852e-05
O13705	Exocyst complex component sec10 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sec10 PE=1 SV=2	sec10	SPAC13F5.06c	2.22864706688041e-05	2.05452193659917e-05	2.09330320933282e-05
O13709	Uncharacterized protein C14C4.01c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC14C4.01c PE=4 SV=2		SPAC14C4.01c SPAC19D5.08c	2.27461280815966e-05	2.15000796814192e-05	2.19879830274091e-05
O13710	Structural maintenance of chromosomes protein 5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=smc5 PE=1 SV=3	smc5	SPAC14C4.02c	1.32447131623379e-05	1.2300455481587e-05	1.27142646599238e-05
O13711	Uncharacterized protein C14C4.04 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC14C4.04 PE=4 SV=1		SPAC14C4.04	6.77769163155653e-05	6.7988978064266e-05	6.6904200948418e-05
